PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,TEU,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS & NUMBERS,IMPORTER ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,DISTRIBUTION PORT,MASTER B/L,VOYAGE NUMBER,SEAL,SHIPMENT REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
"SALTED ALASKAN POLLOCK FILLETS SALTED ALASKAN POLLOCK FILLETS,SKINLESS,BONELESS,PBO ) CASES OF LBS. ( X OZ.) PACK ( , LBS.) ARCTIC BLUE BRAND ) CASES OF LBS. ( X OZ.), PACK ( , LBS.) ARCTIC BLUE BRAND ) CASES OF LBS. ( X OZ.) PACK ( , LBS.) ARCTIC MOON BRAND ) CASES OF LBS. ( X LB.) PACK ( , LBS.) ARCTIC MOON BRAND ) CASES OF LBS. ( X OZ.) PACK ( , LBS.) CORONA DOMINICANA BRAND ) CASES OF LBS. ( X OZ.) PACK ( , LBS.) CHERRY VALLEY BRAND ) CASES OF LBS. ( X OZ.) PACK ( , LBS.)LUNA ARTICA BRAND VENT CLOSED REEFER CONTAINER TEMPERATURE SET AT . C.",YT GLOBAL INC.,YT GLOBAL INC,QINGDAO MINSHENG INTERNATIONAL,2025-11-09,2,56540,25700,Ching Tao,"New York/Newark Area, Newark, New Jersey",EVER FAVOR,China,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"400 FRANKLIN ST, STE. 305, BRAINTREE, MA 02184 E-MAIL: OPBOS@YTGLOBAL.US","FREIGHT AGENCY CO.,LTD RM.E, 16F, HUAREN PLAZA, NO.2 SHANDONG ROAD,QINGDAO, CHINA.",02184,1,EMCU5546877,40U0,2858,CAS,54,X,EGLV140502288261,M,,,1232E,EMCVME9664,LIBERIA,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,YT GLOBAL INC.,"400 FRANKLIN ST, STE. 305, BRAINTREE, MA 02184 E-MAIL: OPBOS@YTGLOBAL.US","QINGDAO, CHINA"
"FROZEN ALASKA POLLOCK FILLETS FROZEN ALASKA POLLOCK FILLETS FROZEN HOKI FILLETS VENT CLOSED FREIGHT PREPAID THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL., REEFER CONTAINER TEMPERATURE SET AT - . C.",HIGH LINER FOODS (USA) INCORPORATED,HIGH LINER FOODS INC,"YANTAI YONGYUAN FOODSTUFF CO.,LTD.",2025-11-08,2,53772,24442,Ching Tao,"Norfolk, Virginia",COSCO PRIDE,China,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"1 HIGHLINER AVENUE PORTSMOUTH, NEW HAMPSHIRE 03801",DAJIJIA YANTAI E.T.D.Z. SHANDONG CHINA,03801,1,EGSU5087519,45R1,3209,CTN,40,X,EGLV140557327926,,,,085E,EMCSUY0284,HONG KONG,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,QUARTZ LOGISTICS(NY) INC.,"182-23 150TH AVE., 2ND FLOOR,SUITE E SPRINGFIELD GARDENS,NY 11413 TEL:516-226-3610 FAX:516-226-3613 EMAIL:NYCOP@QUARTZ-LOGISTICS.COM","QINGDAO, CHINA"
"FISH WHOLE FROZEN, ALASKA POLLACK (THERAGRA CHALCOGRAMMA) AND FROZEN POLLOCK FISH WHOLE FROZEN, ALASKA POLLACK (THERAGRA CHALCOGRAMMA) AND FROZEN POLLOCK",YUHANG INTERNATIONAL LOGISTICS,YUHANG INTERNATIONAL LOGISTICS,GLOBAL FREIGHT SOLUTIONS,2025-11-08,4,112330,51059,"Vancouver, BC","Tacoma, Washington",YM MUTUALITY,Canada,NO MARKS NO MARKS,"(DALIAN) CO.,LTD. ROOM 1503 BLDG, N.7 GANGWAN SHANGHA I, SHANGHAI 116001 CN",". 7981 ENTERPRISE STREET, BURNABY, BU RNABY, BC BC V5A 1V5 CA",,2,CXRU1263434 TTNU8611724,4FR0 4FR0,1920,BAG,80,CM,ONEYRICFHR304703,,,,109E,651157 651200,LIBERIA,,ONEY,ORATEL NETWORKS,TORONTO,ON,M5X 1C7,100 KING STREET WEST SUITE 5700,YUHANG INTERNATIONAL LOGISTICS,"(DALIAN) CO.,LTD. ROOM 1503 BLDG, N.7 GANGWAN SHANGHA I, SHANGHAI 116001 CN","VANCOUVER, BC"
S.T.C. ( ) ALASKA COSTUMES,FDC (FLORIDA DISTRIBUTION CENTER),FDC,ROYAL PRINCESS,2025-11-08,1.75,33,15,Puerto Vallarta,"Los Angeles, California",ROYAL PRINCESS,Mexico,N/A,3671 SW 30TH AVENUE FORT LAUDERDALE FL 33312 US XIAMARA CERVANTES TE 9547970806,C/O PRINCESS CRUISES 24305 TOWN CENTRE DRIVE SANTA CLARITA CA 91355 US ADMINISTRATION OFFICER,33312,1,RP2025110804,,1,BOX,0,,PNSSRP2025110804,,,,1108,,BERMUDA,,PNSS,PRINCESS CRUISES,SANTA CLARITA,CA,91355,24305 TOWN CENTER DR,-NOT AVAILABLE-,-NOT AVAILABLE-,LOS ANGELES
S.T.C. ALASKAN BACKDROPS FOR PHOTOS TO TRANSFER TO STAR PRINCESSS=,STAR PRINCESS,STAR PRINCESS,MAJESTIC PRINCESS,2025-11-08,1.75,22,10,Punta Venado,"Port Everglades, Florida",MAJESTIC PRINCESS,Mexico,N/A,C/O PRINCESS CRUISES 24305 TOWN CENTRE DRIVE SANTA CLARITA CA 91355 US ADMINISTRATION OFFICER,C/O PRINCESS CRUISES 24305 TOWN CENTRE DRIVE SANTA CLARITA CA 91355 US ADMINISTRATION OFFICER,91355,1,MJ2025110804,,1,BOX,0,,PNSSMJ2025110804,,,,M531,,BERMUDA,63,PNSS,PRINCESS CRUISES,SANTA CLARITA,CA,91355,24305 TOWN CENTER DR,-NOT AVAILABLE-,-NOT AVAILABLE-,FORT LAUDERDALE
"( PALLETS)DESIGNS OF CARD GAMES, ALASKA , DESIGNS OF CARD GAMES, PNW , HS CODE: . SCAC: MFGTHBL: BKHNL FREIGHT PREPAID",STARK ART STUDIOS,STARK ART STUDIOS,"SIAM PRINTING SOLUTIONS CO,. LTD.",2025-11-07,0.9790697674418605,4631,2105,Ningpo,"Honolulu, Hawaii",CMA CGM GEORGIA,China,"SIAM PRINTING SOLUTION CO.,LTD.",85 MAUNALEO PLACE WAILUKU HI 96793 US EM STARK@MAUI.NET,"P23 BUILDING 11TH FLOOR, ROOM NO. 1 111 11/2 SUKHUMVIT 23, NORTH KLONGTOEY, WATTANA BANGKOK TH EM SPS1.BANGKOK@GMAIL.COM",96793,1,CMAU3929914,4500,10046,CTN,0,CM,MFGTBKHNL5186788,H,,CMDUHKA2576433,0GVKY,,PANAMA,,MFGT,MAINFREIGHT INC,CARSON,CA,90746,1400 GLENN CURTISS ST,-NOT AVAILABLE-,-NOT AVAILABLE-,NINGBO
"( PALLET) STATIC CONVERTER (BOX BUILD) PART : AT - E ASM (E) AMPT-SC V - - H.S. CODE : . ., NET WEIGHT : . KGS. INVOICE NO. FM /AZ DATE: -AUG- T/S CARGO FM BANGKOK TO HONOLULU VIA HKG SCAC CODE:EWBN AMS NO: BKKHLU ( CARTONS )THAI HANDICRAFT PRODUCTS INVOICE : HONOLULU DATE : / / AS PER INVOICE : HONOLULU H.S. CODE : . . . , . . . , . . . )PERRY LAM SG LAM CUSTOMS BROKER LUAWAI ST., HONOLULU, HI TEL: , FAX: SCAC:EWBNHBL:BKKHLU T/S CARGO FM BANGKOK TO HONOLULU VIA HKG SLAC PALLET (DN ) PRESSURE REDUCING SOLENOID CONTROL VALVOHS CODE T/S CARGO FM ANTWERPEN TO HONOLULU VIA HONG KONG HB/L JIEXP SCAC NAQA ( PALLETS) DESIGNS OF CARD GAMES , ALASKA ,DESIGNS OF CARD GAMES , PNW , HS CODE: . SCAC: MFGT HBL: BKHNL T/S CARGO FM BANGKOK TO HONOLULU VIA HKG TRUSSINGHS CODE: T/S CARGO FM HUANGPU TO HONOLULU VIA HKG SCAC EWBN HBL HNL HS CODE: PAPER TUBE HS CODE:T/S CARGO FROM GUANGZHOU TO HONOLULU VIA HONGKONG SCAC EWBN HBL HNL PAPER BOX HS CODE: PAPER BAG HS CODE:THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS T/S CARGO FM ZHONGSHAN TO HONOLULU VIA HKG SCAC EWBN HBL HNL KEYCHAIN(HS CODE: )CROCHETED TOY(HS CODE: ) CROCHETED FLOWER POT (HS CODE: ) DRINK COASTE(HS CODE: ) HANDCRAFTED ACCESSORIES (HS CODE: ),CONICAL HAT (HS CODE: ) PICTURE POSTCARD(HS CODE: ) BAG(HS CODE: ) T/S CARGO FROM HOCHIMINH TO HONOLULU VIA HKHBL:VHNL SCAC CODE: SUJB LOADER ACCESSORIES HS T/S CARGO FM QINGDAO TO HONOLULU VIA HKG SCAC EWBN HBL HNLWOODEN BOX BAMBOO CHOPSTICKS PAPER BAG HS CODE: , . T/S CARGO FM SHANGHAI TO HONOLULU VIA HKG SCAC EWBNHBL HNL COTTON SCARVES ( X ) HS CODE : T/S CARGO FROM NHAVA SHEVA TO HONOLULU VIA HK SCAC EWBN HBL MU S SOLAR POWER SYSTEMHS CODE: SCAC EWBN HBL HNL TABLE TOP WITH EPOXY RESIN (MATERIAL: SAMAN WOOD) HS CODE: SCAC CODE: TMFQ HBL: ST/S CARGO FM HAIPHONG TO HONOLULU VIA HKG SWIM POOL HS CODE: SCAC:EWBN HBL:HKGHLU T/S CARGO FM NINGBO TO HONOLULU VIA HKG HS CODE:KIND OF PACKAGES DESCRIPTION OF GOODS BOXES = PCS OF FURNITURE CONSIST OF TABLES AS PER INVOICE NO. - FOB SEMARANG, INDONESIASCAC CODE EWBN HBL SRGHLU HS CODE: T/S CARGO FM SEMARANG TO NAWALIWILI VIA HKG SLAC:HOT TUB SYSTEM/NON HAZ, STACKABLE HS CODE: SCAC:EWBN HBL:VANHLU T/S CARGO FM BUSAN TO HONOLULU VIA HKG",TRIPLE B FORWARDERS (HAWAII) INC,TRIPLE B FORWARDERS,-NOT AVAILABLE-,2025-11-07,2,28351,12887,Ningpo,"Honolulu, Hawaii",CMA CGM GEORGIA,China,"BKK/HLU/00077 CONSIGNEE : AMPT LLC C/O LAWAI CANNERY SELF STORAGE DELIVERY ADDRESS : 3470 LAUOHO RD - UNIT A107 KALAHEO, HI 96741 CONTACT : RONSEN FUJII EMAIL : RFUJII AMPT.COM TEL. : (808) 346-7311 31570220-1275E / AMPT-SC V1275-20-20 PO 7700 QTY 60 UNITS BKK/HLU/00081 ARANYIK TRADING COMPANY HONOLULU002508202 5 TO.HONOLULU PORT, U.S.A. MADE IN THAILAND HKG/HLU/00764 JIEXP0054719 AS ADDRESSED HKG/HLU/00765 SIAM PRINTING SOLUTION CO.,LTD. HKG/HLU/00766 TECHTEAM PI250415001T HKG/HLU/00767 BPE2025061901O HKG/HLU/00768 FLT-KY-K HKG/HLU/00769 HONOLULU, USA ( MS.TRAN THI TRUONG AN) HKG/HLU/00770 N/M HKG/HLU/00771 MADE IN CHINA HKG/HLU/00772 CASUAL MOVEMENTS HKG/HLU/00773 TYLER-JSDSOLAR HPH/HLU/00241 PRODUCT NAME: MANUFACTURER/SHIP PER: ADDRESS: TAX ID: MADE IN VIETNAM NGB/HLU/00161 ECUHLU1578689 SRG/HLU/00281 MMG// SO 1448 LOADING : 21 AGUSTUS 2025 VAN/HLU/00763 GOOD LAND / NON STACKABLE MTR/HLU/1108499","803 MAPUNAPUNA ST. 96819 HONOLULU, HI U.S.A. TE TEL: 00 1 808-834-7154",-NOT AVAILABLE-,96819,1,CMAU3929914,4500,10208,PKG,0,CM,CMDUHKA2576433,M,,,0GVKZ,,MALTA,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,-NOT AVAILABLE-,-NOT AVAILABLE-,HONG KONG
FROZEN CHUM SALMON FILLETS FROZEN COOKED MUSSEL MEAT FROZEN BREADED ALASKAN POLLOCK FILLETS,OCEAN POWER CO.,OCEAN POWER CO,DALIAN SEA RICH INTERNATIONAL TRADE,2025-11-06,2,54749,24886,Ching Tao,"Los Angeles, California",COSCO OCEANIA,China,NO MARKS,"2462 MOON DUST DR.UNIT C,CHINO HILL S,CA.91709 .","A NO.8, 27TH FLOOR, UNIT 1, 20B GAN GWAN STREET, ZHONGSHAN DISTRICT, DA LIAN CITY, LIAONING PROVINCE,CHINA",,1,CXRU1338111,45R1,2100,CTN,0,,SYLCDLC25100063,H,,COSU6431567200,108E,Z203047,HONG KONG,,SYLC,,,,,,B. Y. INTERNATIONAL INC.,710 EPPERSON DR CITY OF INDUSTRY CA 91748 .,DALIAN
"STATUES HTS: ART MEMORIAL FISHERMAN S-ALASKA HTS: HS:, HTS: HTS:",RUSTING MAN FOUNDATION,RUSTING MAN FOUNDATION,NAVYKO S.R.O.,2025-11-06,1,5511,2505,Sines,"Seattle, Washington",GREENVILLE,Portugal,NO MARKS,CARE OF AML-BN+HE394 6110 W MARGINAL WAY SW SEATTLE WA 98106 US,ZELENEASKA 517/40 198 00 PRAHA CZ,98106,1,MSBU1484860,22G1,1,PKG,26,CM,EXDO616554181,H,,MEDUJU035146,MC538,000964,MALTA,,EXDO,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,SEATTLE,WA,98104-1190,1015 THIRD AVE - 12TH FL,-NOT AVAILABLE-,-NOT AVAILABLE-,BREMERHAVEN
FRENCH PATTERN ALASKA PREMIUM TUMBLED TRAVERTINE PAVER,STONE MART MARBLE & TRAVERTINE,STONE MART MARBLE & TRAVERTINE,BAYKARA PETROL TUR. NAK. TAS. KANTA,2025-11-06,1,61468,27940,Aliaga,"Savannah, Georgia",MOL ENDOWMENT,Turkey,FRENCH PATTERN ALASKA PREMIUM TUMBLED TRAVERTINE PAVER,6005 ANDERSON ROAD TAMPA FL 33634 US ... TE 813 885 6900,AFYON ANKARA KARAYOLU 11.KM AFYONKARAHISAR 03200 TR ... TE 05320505703,33634,1,DFSU1717216,2200,22,CAS,0,,BARSALSV25855792,H,,CMDUISB1826983,UB7P,L7099418,PANAMA,,BARS,BARSAN INTERNATIONAL INC,FAIR LAWN,NJ,07410,17-09 ZINK PLACE UNIT 5,BARSAN GLOBAL LOGISTICS INC,432 BERGEN BLVD UNIT #D 2. FLOOR,AFYONKARAHISAR
FRENCH PATTERN ALASKA PREMIUM TUMBLED TRAVERTPAVER HS FREIGHT COLLECT,BARSAN GLOBAL LOGISTICS INC.,BARSAN GLOBAL LOGISTICS INC,BARSAN GLOBAL LOJISTIK AS,2025-11-06,1,66220,30100,Aliaga,"Savannah, Georgia",MOL ENDOWMENT,Turkey,SHIPPER BAYKARA AMS BARSAN SCAC BARS HBL ALSV25855792,36W 44TH STREET STE 1212 10036 BGLUSAIMPORTS BARSAN.COM,ADALET MAH MANAS BUL 39 FOLKART TOWERS B KULE KAT 39 BAYRAKLI IZMIR 35010 TURKEY TE IZMIR 35010 GRUPUSA BARSAN.COM,10036,1,DFSU1717216,2200,22,CRT,0,CM,CMDUISB1826983,M,,,0UB7Q,L7099418,PANAMA,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,BARSAN GLOBAL LOGISTICS INC.,36W 44TH STREET STE 1212 10036 BGLUSAIMPORTS BARSAN.COM,ALIAGA (IZMIR ARE
ALASKA PREMIUM TUMBLED TRAVERTINE PAVER,STONE MART MARBLE & TRAVERTINE,STONE MART MARBLE & TRAVERTINE,BAYKARA PETROL TUR. NAK. TAS. KANTA,2025-11-06,1,61567,27985,Aliaga,"Savannah, Georgia",MOL ENDOWMENT,Turkey,ALASKA PREMIUM TUMBLED TRAVERTINE PAVER,6005 ANDERSON ROAD TAMPA FL 33634 US ... TE 813 885 6900,AFYON ANKARA KARAYOLU 11.KM AFYONKARAHISAR 03200 TR ... TE 05320505703,33634,1,GESU1184268,2200,29,CAS,0,,BARSALSV25855772,H,,CMDUISB1826981,UB7P,L7099403,PANAMA,,BARS,BARSAN INTERNATIONAL INC,FAIR LAWN,NJ,07410,17-09 ZINK PLACE UNIT 5,BARSAN GLOBAL LOGISTICS INC,432 BERGEN BLVD UNIT #D 2. FLOOR,AFYONKARAHISAR
ALASKA PREMIUM TUMBLED TRAVERTINE PAVER HS FREIGHT COLLECT,BARSAN GLOBAL LOGISTICS INC.,BARSAN GLOBAL LOGISTICS INC,BARSAN GLOBAL LOJISTIK AS,2025-11-06,1,66363,30165,Aliaga,"Savannah, Georgia",MOL ENDOWMENT,Turkey,SHIPPER BAYKARA AMS BARSAN SCAC BARS HBL ALSV25855772,36W 44TH STREET STE 1212 10036 BGLUSAIMPORTS BARSAN.COM,ADALET MAH MANAS BUL 39 FOLKART TOWERS B KULE KAT 39 BAYRAKLI IZMIR 35010 TURKEY TE IZMIR 35010 GRUPUSA BARSAN.COM,10036,1,GESU1184268,2200,29,CRT,0,CM,CMDUISB1826981,M,,,0UB7Q,L7099403,PANAMA,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,BARSAN GLOBAL LOGISTICS INC.,36W 44TH STREET STE 1212 10036 BGLUSAIMPORTS BARSAN.COM,ALIAGA (IZMIR ARE
MSC FROZEN ALASKA POLLOCK FILLET (THERAGRA CHALCOGRAMMA) NET WEIGHT: LBS PO: THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS,FULL MOON FISH,FULL MOON FISH CO LLC,"DALIAN TAIFU FOOD CO., LTD",2025-11-06,2,52800,24000,Pusan,"Miami, Florida",MANZANILLO BRIDGE,South Korea,N/M SAME SAME SAME,7850 NW S RIVER DR MIAMI FL 33166 UNITED STATES,INDUSTRIAL ZONE OF XINHUA STREET ZHUANGHE 21 116400 CHINA,33166,1,CXRU1442830,45R1,4800,CTN,50,X,MEDUHW284663,,,,537E,FX42467347,LIBERIA,,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA,,,,FULL MOON FISH,7850 NW S RIVER DR MIAMI FL 33166 UNITED STATES,DALIAN
FROZEN CHUM SALMON FILLETS / FROZEN COOKED MUSSEL MEAT / FROZEN BREADED ALASKAN POLLOCK FILLETS,EZ LOGISTICS LLC,THE YES LOGISTICS CORP,EZ LOGISTICS LLC DALIAN BRANCH,2025-11-06,2,54749,24886,Ching Tao,"Los Angeles, California",EVER FORWARD,China,NO MARKS NO MARKS NO MARKS,SUITE H 17409 MARQUARDT AVENUE CERRITOS CA 90703 UNITED STATES TE 8020188,RM.2608 SINOTRANS LIAONING BOULEVA DALIAN LN CHINA TE 13842612338,90703,1,CXRU1338111,45R1,2100,CTN,50,CM,COSU6431567200,M,,,1191E,Z203047,SINGAPORE,,COSU,CHINA OCEAN SHIPPING COMPANY,SECAUCUS,NJ,07094,100 LIGHTING WAY,EZ LOGISTICS LLC,SUITE H 17409 MARQUARDT AVENUE CERRITOS CA 90703 UNITED STATES,DALIAN
MSC FROZEN ALASKA POLLOCK FILLETS THERAGRA CHALCOGRAMMA,EASTERN FISHERIES INC,EASTERN FISHERIES INCORPORATED,DALIAN TAIYANG AQUATIC,2025-11-06,2,52360,23800,Pusan,"Boston, Massachusetts",EVER FOND,South Korea,N M NO MARKS,214 SAMUEL BARNET BLVDNEW BEDFORD M A 02745 U S A,PRODUCTS CO LTD GAOYANG VILLAGE DAZ HENG TOWN ZHUANGHE CITY DALIAN CHI NA 116421,02745,1,EMCU5740590,45R1,4500,CTN,0,X,OSTIDLBOS2590071,H,,EGLV144500244102,020E,EMCQEU2484,LIBERIA,,OSTI,ORIENT STAR TRANSPORT INTL LTD,TAIPEI,,,5 FL #61 SEC 3 NANKING EAST RD,-NOT AVAILABLE-,-NOT AVAILABLE-,DALIAN CHINA
FROZEN ALASKA FLOUNDER FILLETS FROZEN ALASKA FLOUNDER FILLETS (HS CODE ) @@NATIONAL.COM/EIN# - @@@NATIONAL.COM/EIN# - REEFER CONTAINER TEMPERATURE SET AT - . C.,SUN GLORY INTERNATIONAL LLC,SUN GLORY INTERNATIONAL LLC,HUAYANG INT'L TRANSPORTATION,2025-11-06,1.75,48400,22000,Pusan,"Boston, Massachusetts",EVER FAVOR,South Korea,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME,"12826 WILLOW CENTRE DR.HOUSTON, TX 77066-3027 UNIT C&D T: (281)968 2283 F:(281)962 4754 E:SUNGLORYINFO@SUNGLORYINTER-@@","SERVICES(DALIAN) CO.,LTD ROOM 2903,NO.5 XINGGUANGYAO SQUARE, 56 CHANGJIANG ROAD EAST,ZHONGSHAN DISTRICT,DALIAN,CHINA",77066-3027,1,EMCU5568618,,4000,CTN,50,X,EGLV144500243343,M,,,1232E,EMCQEQ7104,LIBERIA,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,SUN GLORY INTERNATIONAL LLC,"12826 WILLOW CENTRE DR.HOUSTON, TX 77066-3027 UNIT C&D T: (281)968 2283 F:(281)962 4754 E:SUNGLORYINFO@SUNGLORYINTER-@@@","DALIAN, CHINA"
"MSC FROZEN ALASKA POLLOCK FILLETS MSC FROZEN ALASKA POLLOCK FILLETS (THERAGRA CHALCOGRAMMA) VENT CLOSED THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL TEMPERATURE SET AT - . C., @ EMAIL IMPORTS@MTSNYC.COM @@ EMAIL IMPORTS@MTSNYC.COM REEFER CONTAINER","MTS LOGISTICS, INC.",MTS LOGISTICS INC,ORIENT STAR TRANSPORT INT'L LTD.,2025-11-06,2,52360,23800,Pusan,"Boston, Massachusetts",EVER FAVOR,South Korea,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"5 WEST 37TH STREET SUITE 300 NEW YORK, NY 10018 TEL:212- 594 31 17 EXT 213 FAX:212- 594 68 21",ROOM 2806 RAINBOW BUILDING NO. 23 RENMIN ROAD ZHONGSHAN DIST. DALIAN CHINA 116001,10018,1,EMCU5740590,45R1,4500,CTN,45,X,EGLV144500244102,M,,,1232E,EMCQEU2484,LIBERIA,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"MTS LOGISTICS, INC.","5 WEST 37TH STREET SUITE 300 NEW YORK, NY 10018 TEL:212- 594 31 17 EXT 213 FAX:212- 594 68 21","DALIAN, CHINA"
FROZEN ALASKA FLOUNDER FILLETS,EASTERN FISHERIES INC.,EASTERN FISHERIES INCORPORATED,OCEAN BOY FOOD INC,2025-11-06,1.75,48400,22000,Luda,"Boston, Massachusetts",EVER FAVOR,China,N/M,"214 SAMUEL BARNET BLVD NEW BEDFORD, MA 02745 JESSUP MD 20794 US","RM 1411, LIANGYUN FOUR SEASONS, TOW ER 2, NO 88, LUXUN ROAD, DALIAN CHI Dalian CN",20794,1,EMCU5568618,,4000,CTN,50,X,HILHSUNBOS250913,H,,EGLV144500243343,021E,EMCQEQ7104,LIBERIA,,HILH,HORIZON INT-L SHIPPING INC,MEDLEY,FL,33178,10943 NW 122ND ST,-NOT AVAILABLE-,-NOT AVAILABLE-,Dalian
FROZEN FLOUNDER FILLETS FROZEN ALASKA POLLOCK FILLETS,"DAGIM TAHORIM CO.,INC.",DAGIM TAHORIM CO INC,"YANTAI SANKO FISHERIES CO., LTD.",2025-11-04,2,49060,22300,Ching Tao,"New York/Newark Area, Newark, New Jersey",COSCO PRIDE,China,N/M,"1681-54TH STREET BROOKLYN,NY 11204T EL:718-851-1006-7 FAX:718-972-9120 .","NO.16 LONGZHU ROAD LAISHAN ECONOMIC DEVELOPMENT ZONE, YANTAI CHINA .",,1,CGMU8020135,45R1,2280,CTN,0,,QGCAOP250800073,H,,CMDUQGD2242901,085E,M2419733,HONG KONG,,QGCA,,,,,,"DAGIM TAHORIM CO.,INC.","1681-54TH STREET BROOKLYN,NY 11204T EL:718-851-1006-7 FAX:718-972-9120 .",QINGDAO
"CARGO IS STOWED IN A REFRIGERATED CONTAINER STHE SHIPPER'S REQUESTED CARRYING TEMPERATURE - DEGREES CELSIUS FROZEN FLOUNDER FILLETS FROZEN ALASKA POLLOCK FILLETS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS, TEMP:- 'C VENT:CLOSED FREIGHT PREPAID",DYNASTY SHIPPING INC.,DYNASTY SHIPPING LLC,QINGDAO GRAND COURSE INTERNATIONAL,2025-11-04,2,58542,26610,Ching Tao,"New York/Newark Area, Newark, New Jersey",COSCO PRIDE,China,N/M,"245 VINELAND AVE., CITY OF INDUSTRY, CA 91746 TEL: 310-645 2838-EXT:103 TE OPINC DYNASTY-LAX.COM","LOGISTICS CO LTD RM 1910, NO. 40, HONG KONG MIDDLE ROAD,SHINAN DISTRICT QINGDAO CHINA TE 266000",91746,1,CGMU8020135,45R1,2280,CTN,0,CM,CMDUQGD2242901,M,,,0MBKM,M2419733,HONG KONG,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,DYNASTY SHIPPING INC.,"245 VINELAND AVE., CITY OF INDUSTRY, CA 91746 TEL: 310-645 2838-EXT:103",QINGDAO
IQF MSC ALASKA POLLOCK PORTION,POLAR BAY FOODS INC.,POLAR BAY FOODS INC,-NOT AVAILABLE-,2025-11-03,2,51975,23625,Ningpo,"Seattle, Washington",CMA CGM CASSIOPEIA,China,N/M,1417 238TH AVE SE SAMMAMISH WA 9807 5 USA,-NOT AVAILABLE-,,1,FBIU5463433,45R1,1125,CTN,0,CM,VCLYCJ25091228,H,,COSU6428446240,0TNGR,30736340,MALTA,,VCLY,,,,,,POLAR BAY FOODS INC.,1417 238TH AVE SE SAMMAMISH WA 9807 5 USA,HO CHI MINH
IQF MSC ALASKA POLLOCK PORTION,INTEGRITY LOGISTICS CORP,INTEGRITY GLOBAL LOGISTICS LLC,VICTORY CAPTAIN LIMITED,2025-11-03,2,51975,23625,Ningpo,"Seattle, Washington",CMA CGM CASSIOPEIA,China,NO MARKS,SUITE 215 3230 FALLOW FIELD DRIVE DIAMOND BAR CA 91765 UNITED STATES TE 3966110,"ROOM 1602, NO.9 FUZHOU ROAD NEW WOR QINGDAO SD CHINA TE 85735706",91765,1,FBIU5463433,45R1,1125,CTN,49,CM,COSU6428446240,M,,,0TNGR,30736340,MALTA,,COSU,CHINA OCEAN SHIPPING COMPANY,SECAUCUS,NJ,07094,100 LIGHTING WAY,INTEGRITY LOGISTICS CORP,SUITE 215 3230 FALLOW FIELD DRIVE DIAMOND BAR CA 91765 UNITED STATES,HO CHI MINH
